QuestionId,WholeAssignment,ConstructName,SubjectName,QuestionText,CorrectAnswer,ConstructId,SubjectId,Answer,Answer_value,Misconception,MisconceptionId
1740,"Identify the line of symmetry of curves in the form (x + a)(x + b). Quadratic Graphs-Others. This is the graph of
\(y=(x+1)(x-3)\) ![A set of axes with the graph y=(x+1)(x-3) drawn on.]() What is the equation of the line of symmetry?",Identify the line of symmetry of curves in the form (x + a)(x + b),Quadratic Graphs-Others,"This is the graph of
\(y=(x+1)(x-3)\) ![A set of axes with the graph y=(x+1)(x-3) drawn on.]() What is the equation of the line of symmetry?",C,989,1171,AnswerAText,\( y=-3 \),MisconceptionAId,2080.0
1741,"Recognise that a sequence is quadratic when expressed as a pattern. Quadratic Sequences. Which of the following is the best way to describe this sequence: ![First three patterns in a sequence. They are all rectangles made up of small squares. Pattern 1 is three small squares on top of one another, so the dimensions of the rectangle are 1 across and 3 up. Pattern 2 is a rectangle of dimensions 2 squares across and 6 up. Pattern 3 is a rectangle of dimensions 3 squares across and 9 squares up.]()",Recognise that a sequence is quadratic when expressed as a pattern,Quadratic Sequences,"Which of the following is the best way to describe this sequence: ![First three patterns in a sequence. They are all rectangles made up of small squares. Pattern 1 is three small squares on top of one another, so the dimensions of the rectangle are 1 across and 3 up. Pattern 2 is a rectangle of dimensions 2 squares across and 6 up. Pattern 3 is a rectangle of dimensions 3 squares across and 9 squares up.]()",B,1206,172,AnswerAText,Linear,MisconceptionAId,1198.0
1742,"Simplify algebraic expressions to maintain equivalence by collecting like terms involving three or more linear variables. Simplifying Expressions by Collecting Like Terms. Simplify the following expression by collecting
like terms
\(6 x-2 y-z+3 y\)",Simplify algebraic expressions to maintain equivalence by collecting like terms involving three or more linear variables,Simplifying Expressions by Collecting Like Terms,"Simplify the following expression by collecting
like terms
\(6 x-2 y-z+3 y\)",B,1275,251,AnswerAText,\( 6 x-y-z \),MisconceptionAId,1380.0
1743,"Express one quantity as a percentage of another mentally. Percentages of an Amount. I increase \( £ 150 \) by \( 60 \% \).
Then, I increase the new amount by \( 10 \% \).
What percentage of the original amount do I have now?",Express one quantity as a percentage of another mentally,Percentages of an Amount,"I increase \( £ 150 \) by \( 60 \% \).
Then, I increase the new amount by \( 10 \% \).
What percentage of the original amount do I have now?",B,579,233,AnswerAText,\( 170 \% \),MisconceptionAId,904.0
1745,"Use the properties of an equilateral triangle to find missing lengths. Properties of Triangles. Triangle \( A B C \) is an equilateral triangle. Find length \(AC\). ![A triangle with vertices labelled A, B, C. Side BC is 8cm, side AC is labelled with a question mark.]()",Use the properties of an equilateral triangle to find missing lengths,Properties of Triangles,"Triangle \( A B C \) is an equilateral triangle. Find length \(AC\). ![A triangle with vertices labelled A, B, C. Side BC is 8cm, side AC is labelled with a question mark.]()",C,2427,175,AnswerAText,\( 7 \mathrm{~cm} \),MisconceptionAId,423.0
1746,"Know that the factorised form of a quadratic is useful for finding where the curve crosses the x-axis. Sketching from Factorised Form. \(
y=x^{2}-10 x+25
\)

Where does this curve intercept the \( x \) axis?",Know that the factorised form of a quadratic is useful for finding where the curve crosses the x-axis,Sketching from Factorised Form,"\(
y=x^{2}-10 x+25
\)

Where does this curve intercept the \( x \) axis?",C,987,266,AnswerAText,"\( (-5,0) \)",MisconceptionAId,2436.0
1749,Convert decimals less than 1 with 2 decimal place to percentages. Converting between Decimals and Percentages. What is \( 0.07 \) written as a percentage?,Convert decimals less than 1 with 2 decimal place to percentages,Converting between Decimals and Percentages,What is \( 0.07 \) written as a percentage?,C,381,239,AnswerAText,\( 0.07 \% \),MisconceptionAId,1965.0
1751,"Round numbers to an appropriate degree to estimate the answer to a calculation. Estimation. Without working out the exact answer, use estimation to decide which of the following answer is the most likely to be correct
\[
397 \div 209
\]",Round numbers to an appropriate degree to estimate the answer to a calculation,Estimation,"Without working out the exact answer, use estimation to decide which of the following answer is the most likely to be correct
\[
397 \div 209
\]",D,3215,216,AnswerAText,\( 1.332 \ldots \),MisconceptionAId,1157.0
1753,Divide two decimals with the same number of decimal places. Multiplying and Dividing with Decimals. \( 0.4 \div 0.8= \),Divide two decimals with the same number of decimal places,Multiplying and Dividing with Decimals,\( 0.4 \div 0.8= \),D,321,224,AnswerAText,\( 0.4 \),MisconceptionAId,2273.0
1755,"Expand two brackets with linear terms in the form (ax + b)². Expanding Double Brackets. Expand and simplify:
\(
(2 y-3)^{2}
\)",Expand two brackets with linear terms in the form (ax + b)²,Expanding Double Brackets,"Expand and simplify:
\(
(2 y-3)^{2}
\)",D,1411,51,AnswerAText,\( (2 y-3)(2 y-3) \),MisconceptionAId,894.0
1756,Convert integer percentages with 2 digits to decimals . Converting between Decimals and Percentages. How do you write \( 23 \% \) as a decimal?,Convert integer percentages with 2 digits to decimals ,Converting between Decimals and Percentages,How do you write \( 23 \% \) as a decimal?,B,385,239,AnswerAText,\( 2.3 \),MisconceptionAId,619.0
1758,Express a non-linear equation as a function machine. Function Machines. Which function machine matches the equation \( y=x^{2}+4 ? \),Express a non-linear equation as a function machine,Function Machines,Which function machine matches the equation \( y=x^{2}+4 ? \),C,1508,649,AnswerAText,"![A function machine which has 4 parts joined by arrows pointing from left to right. ""𝑥"" is the first part, written on the left, followed by a horizontal arrow pointing to a rectangle that has ""+ 4"" written inside it, followed by a horizontal arrow pointing to a rectangle that has ""square"" written inside it, followed by a horizontal arrow pointing to ""y"".]()",MisconceptionAId,77.0
1759,"Interpret a pie chart. Pie Chart. This pie chart shows how an average American household uses water.

Which of the following can not be found from this pie chart? ![A pie chart showing multiple sections: Toilet 26.7%, Leaks 13.7%, Other 5.3%, Clothes Washer 21.7%, Faucet 15.7%, Shower 16.8% ]()",Interpret a pie chart,Pie Chart,"This pie chart shows how an average American household uses water.

Which of the following can not be found from this pie chart? ![A pie chart showing multiple sections: Toilet 26.7%, Leaks 13.7%, Other 5.3%, Clothes Washer 21.7%, Faucet 15.7%, Shower 16.8% ]()",B,2869,109,AnswerAText,The fraction of the different uses of water,MisconceptionAId,804.0
1760,"Add surds in the form va + vb. Simplifying Surds. \( \sqrt{12}+\sqrt{27} \) Simplify, if possible.",Add surds in the form va + vb,Simplifying Surds,"\( \sqrt{12}+\sqrt{27} \) Simplify, if possible.",C,737,248,AnswerAText,\( 3 \sqrt{5} \),MisconceptionAId,2011.0
1761,"Use a protractor to measure angles between 180° and 270°. Measuring Angles. What is the size of the marked angle? ![A 360 degree protractor with 2 red lines and a pink sector marking out a reflex angle being measured by the protractor. The outer scale goes from 0 to 360 clockwise. The angle is between one red line that is at 0 (outer scale) and 180 (inner scale), clockwise  to the other red line that is half way between 210 and 220 (outer scale) and halfway between 330 and 320 (inner scale).
]()",Use a protractor to measure angles between 180° and 270°,Measuring Angles,"What is the size of the marked angle? ![A 360 degree protractor with 2 red lines and a pink sector marking out a reflex angle being measured by the protractor. The outer scale goes from 0 to 360 clockwise. The angle is between one red line that is at 0 (outer scale) and 180 (inner scale), clockwise  to the other red line that is half way between 210 and 220 (outer scale) and halfway between 330 and 320 (inner scale).
]()",B,1738,180,AnswerAText,\( 335^{\circ} \),MisconceptionAId,1290.0
1762,"Describe simple directions to translate a shape or object using words not vectors. Translation and Vectors. How would you describe the movement to get from the star to the triangle? ![A set of axes: x-axis from 0 to 5, y-axis from 0 to 5. A purple triangle symbol is at point (2,1) and a yellow star symbol is at point (1, 4).]()",Describe simple directions to translate a shape or object using words not vectors,Translation and Vectors,"How would you describe the movement to get from the star to the triangle? ![A set of axes: x-axis from 0 to 5, y-axis from 0 to 5. A purple triangle symbol is at point (2,1) and a yellow star symbol is at point (1, 4).]()",D,2708,95,AnswerAText,"\( 1 \) square left, \( 3 \) squares up",MisconceptionAId,1265.0
1763,"Interpret discrete data using a line graph. Time Series and Line Graphs. ![A line graph with title ""Goals scored in the UK"". 
The x-axis scale is labelled: Aug, Sept, Oct, Nov, Dec, Jan, Feb, Mar, Apr, May. 
The y-axis is titled ""Number of goals"" and the scale is labelled from 0 to 3000 in steps of 500. The following points are plotted and joined together: (Aug, 500), (Sept, 850 approx.), (Oct, 950 approx.),(Nov, 1000), (Dec, 1175 approx.), (Jan, 1200 approx.), (Feb, 500), (Mar, 1000), (Apr, 1500), (May, 2000).
]() What was the total number of goals scored in the winter season (Dec, Jan, Feb)?",Interpret discrete data using a line graph,Time Series and Line Graphs,"![A line graph with title ""Goals scored in the UK"". 
The x-axis scale is labelled: Aug, Sept, Oct, Nov, Dec, Jan, Feb, Mar, Apr, May. 
The y-axis is titled ""Number of goals"" and the scale is labelled from 0 to 3000 in steps of 500. The following points are plotted and joined together: (Aug, 500), (Sept, 850 approx.), (Oct, 950 approx.),(Nov, 1000), (Dec, 1175 approx.), (Jan, 1200 approx.), (Feb, 500), (Mar, 1000), (Apr, 1500), (May, 2000).
]() What was the total number of goals scored in the winter season (Dec, Jan, Feb)?",B,2907,117,AnswerAText,\( 3375 \),MisconceptionAId,2318.0
1765,"Translate a shape given vector notation where all values are positive. Translation and Vectors. Sam has translated the red flag \( \left(\begin{array}{l}2 \\ 3\end{array}\right) \) ![Image showing two identical shapes on a coordinate grid. The red shape has the point (2,1) and the corresponding point on the blue shape is (4,3).]() What error has Sam made?",Translate a shape given vector notation where all values are positive,Translation and Vectors,"Sam has translated the red flag \( \left(\begin{array}{l}2 \\ 3\end{array}\right) \) ![Image showing two identical shapes on a coordinate grid. The red shape has the point (2,1) and the corresponding point on the blue shape is (4,3).]() What error has Sam made?",D,2711,95,AnswerAText,Sam has gone left when he should have gone right,MisconceptionAId,1796.0
1768,"Mental multiplication and the laws of arithmetic. Mental Multiplication and Division. \[
15 \times 12=15 \times(4 \times \text { 年 })
\]
What should replace the star to make this calculation correct?",Mental multiplication and the laws of arithmetic,Mental Multiplication and Division,"\[
15 \times 12=15 \times(4 \times \text { 年 })
\]
What should replace the star to make this calculation correct?",C,3526,204,AnswerAText,\( 8 \),MisconceptionAId,2273.0
1769,"Find missing angles in an isosceles triangle. Basic Angle Facts (straight line, opposite, around a point, etc). What is the size of angle \( w \) ? ![An isosceles triangle with a base angle labelled with w and the angle vertically opposite the vertex angle labelled with 33 degrees]()",Find missing angles in an isosceles triangle,"Basic Angle Facts (straight line, opposite, around a point, etc)",What is the size of angle \( w \) ? ![An isosceles triangle with a base angle labelled with w and the angle vertically opposite the vertex angle labelled with 33 degrees](),D,1804,181,AnswerAText,\( 49^{\degree} \),MisconceptionAId,1176.0
1771,"Use inequality notation to order fractions whose denominators are multiples of the same number . Ordering Fractions. Which symbol makes the following statement correct?
\(
\frac{3}{4}\space \square\space \frac{5}{8}
\)",Use inequality notation to order fractions whose denominators are multiples of the same number ,Ordering Fractions,"Which symbol makes the following statement correct?
\(
\frac{3}{4}\space \square\space \frac{5}{8}
\)",B,418,228,AnswerAText,\( = \),MisconceptionAId,2030.0
1772,Work out the size of each interior angle in a regular polygon. Angles in Polygons. What is the size of each interior angle in a regular octagon?,Work out the size of each interior angle in a regular polygon,Angles in Polygons,What is the size of each interior angle in a regular octagon?,B,1790,183,AnswerAText,\( 80^{\degree} \),MisconceptionAId,2341.0
1773,Multiply two decimals together with the same number of decimal places. Multiplying and Dividing with Decimals. \( 0.3 \times 0.9= \),Multiply two decimals together with the same number of decimal places,Multiplying and Dividing with Decimals,\( 0.3 \times 0.9= \),C,312,224,AnswerAText,\( 2.7 \),MisconceptionAId,2481.0
1774,Convert from kilometers to miles. Length Units. \( 3 \) miles \( \approx 5 \mathrm{~km} \) \( 300 \mathrm{~km} \approx \square \) miles,Convert from kilometers to miles,Length Units,\( 3 \) miles \( \approx 5 \mathrm{~km} \) \( 300 \mathrm{~km} \approx \square \) miles,C,2040,195,AnswerAText,\( 298 \),MisconceptionAId,306.0
1777,"Solve missing number mental multiplication questions. Mental Multiplication and Division. What number belongs in the box to make the calculation correct?


\[
6 \times \square=108
\]",Solve missing number mental multiplication questions,Mental Multiplication and Division,"What number belongs in the box to make the calculation correct?


\[
6 \times \square=108
\]",D,3229,204,AnswerAText,\( 648 \),MisconceptionAId,2271.0
1779,"Identify and count the faces, vertices and edges of a 3D shape. Names and Properties of 3D Shapes. How many vertices does this shape have? ![cuboid]()","Identify and count the faces, vertices and edges of a 3D shape",Names and Properties of 3D Shapes,How many vertices does this shape have? ![cuboid](),B,2548,177,AnswerAText,\( 6 \),MisconceptionAId,450.0
1783,Calculate the square of a number. Multiplying and Dividing with Decimals. \( 0.8^{2}= \),Calculate the square of a number,Multiplying and Dividing with Decimals,\( 0.8^{2}= \),D,473,224,AnswerAText,\( 6.4 \),MisconceptionAId,2481.0
1784,"Given the area of a trapezium, calculate a missing dimension. Area of Simple Shapes. The area of this trapezium is \( 40 \mathrm{~cm}^{2} \). What would the perpendicular height, \( h \), of the trapezium be? ![Trapezium with parallel sides of lengths 6cm and 10cm]()","Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,"The area of this trapezium is \( 40 \mathrm{~cm}^{2} \). What would the perpendicular height, \( h \), of the trapezium be? ![Trapezium with parallel sides of lengths 6cm and 10cm]()",C,2585,75,AnswerAText,\( h=8 \mathrm{~cm} \),MisconceptionAId,2103.0
1785,"Round integers to the nearest other power of 10. Rounding to the Nearest Whole (10, 100, etc). What is \( 875,599 \) rounded to the nearest \( 10,000 \) ?",Round integers to the nearest other power of 10,"Rounding to the Nearest Whole (10, 100, etc)","What is \( 875,599 \) rounded to the nearest \( 10,000 \) ?",C,209,213,AnswerAText,"\( 870,000 \)",MisconceptionAId,1379.0
1787,"Given a situation sketch an appropriate real life graph. Real Life Graphs. Imran slept really well until a car alarm woke him up and he couldn't get back to sleep.

Which of the following sketches best shows Imran's sleep?",Given a situation sketch an appropriate real life graph,Real Life Graphs,"Imran slept really well until a car alarm woke him up and he couldn't get back to sleep.

Which of the following sketches best shows Imran's sleep?",B,1560,58,AnswerAText,![This graph shows depth of sleep increasing quickly and then maintaining a consistent level until it starts to gradually decrease until the end of the night when it reaches 0.](),MisconceptionAId,2047.0
1788,"Recognise the place value of each digit in integers. Place Value. What is the value of the \( 3 \) in the number
\[
7,359,250 \text { ? }
\]",Recognise the place value of each digit in integers,Place Value,"What is the value of the \( 3 \) in the number
\[
7,359,250 \text { ? }
\]",B,28,202,AnswerAText,\( 3 \),MisconceptionAId,1428.0
1789,"Recognise and use associativity of multiplication. Multiplying and Dividing Negative Numbers. \(
(-20) \times(-5)=2 \times(-10) \times(-5)
\)
Is this...",Recognise and use associativity of multiplication,Multiplying and Dividing Negative Numbers,"\(
(-20) \times(-5)=2 \times(-10) \times(-5)
\)
Is this...",B,3321,212,AnswerAText,true because of distributivity,MisconceptionAId,488.0
1796,Find missing angles in a scalene triangle. Angles in Triangles. What is the size of angle \( k \) ? ![A triangle with two labelled interior angles. One angle is 65 degrees. One angle is k degrees. The third angle has no label.](),Find missing angles in a scalene triangle,Angles in Triangles,What is the size of angle \( k \) ? ![A triangle with two labelled interior angles. One angle is 65 degrees. One angle is k degrees. The third angle has no label.](),D,1806,439,AnswerAText,\( 50\degree\),MisconceptionAId,1069.0
1798,"Reflect an object or a point in a diagonal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object. Reflection. The triangle is reflected in the dashed line.
What are the new coordinates of point \( \mathrm{P} \) ? ![A coordinate grid with a reflection line drawn and a triangle. The reflection line passes through the coordinates: (-1,-1) (0,0) (1,1) (2,2) etc. The triangle has coordinates: (2,2) (3,3) and (4,2). P is the coordinate (4,2).]()","Reflect an object or a point in a diagonal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",Reflection,"The triangle is reflected in the dashed line.
What are the new coordinates of point \( \mathrm{P} \) ? ![A coordinate grid with a reflection line drawn and a triangle. The reflection line passes through the coordinates: (-1,-1) (0,0) (1,1) (2,2) etc. The triangle has coordinates: (2,2) (3,3) and (4,2). P is the coordinate (4,2).]()",C,2648,92,AnswerAText,"\( (2,2) \)",MisconceptionAId,1990.0
1799,"Round numbers to two decimal places. Rounding to Decimal Places. \( 0.009753 \)
What is this number rounded to \( 2 \) decimal places?",Round numbers to two decimal places,Rounding to Decimal Places,"\( 0.009753 \)
What is this number rounded to \( 2 \) decimal places?",C,218,214,AnswerAText,\( 0.0098 \),MisconceptionAId,1529.0
1801,"Solve linear inequalities involving two inequality signs. Solving Linear Inequalities. What is the solution to the following inequality?
\(
-5<2 x+1<5
\)",Solve linear inequalities involving two inequality signs,Solving Linear Inequalities,"What is the solution to the following inequality?
\(
-5<2 x+1<5
\)",B,3138,166,AnswerAText,\( -9<x<11 \),MisconceptionAId,1214.0
1803,"Estimate the size of obtuse angles. Types, Naming and Estimating. Which of the following is the best estimate of the size of this angle? ![An obtuse angle]()",Estimate the size of obtuse angles,"Types, Naming and Estimating",Which of the following is the best estimate of the size of this angle? ![An obtuse angle](),C,1660,73,AnswerAText,\( 60^{\circ} \),MisconceptionAId,1344.0
1804,"Given a positive x value, find the corresponding y value for curves in the form y = ax² + bx + c. Plotting Quadratics from Tables of Values. This is a part of the table of values for the equation
\(y=\frac{1}{2} x^{2}\) \begin{tabular}{|c|c|}
\hline\( x \) & \( \frac{2}{3} \) \\
\hline\( y \) & \( \bigstar \) \\
\hline
\end{tabular} What should replace the star?","Given a positive x value, find the corresponding y value for curves in the form y = ax² + bx + c",Plotting Quadratics from Tables of Values,"This is a part of the table of values for the equation
\(y=\frac{1}{2} x^{2}\) \begin{tabular}{|c|c|}
\hline\( x \) & \( \frac{2}{3} \) \\
\hline\( y \) & \( \bigstar \) \\
\hline
\end{tabular} What should replace the star?",B,985,265,AnswerAText,\( \frac{1}{9} \),MisconceptionAId,1113.0
1807,"Calculate the square of a number. Squares, Cubes, etc. What is the value of \( 3^{2} \) ?",Calculate the square of a number,"Squares, Cubes, etc",What is the value of \( 3^{2} \) ?,C,473,245,AnswerAText,\( 12 \),MisconceptionAId,64.0
1812,"Given a midpoint and a coordinate work out the position of the other coordinate, where all the values are integers but at least one is negative. Midpoint Between Two Co-ordinates. Here are two points and their midpoint. What should replace the star? ![A set of axis showing all four quadrants. Three points are marked in a straight line with a negative gradient. One lilac circle marks a point in the 1st quadrant and is labelled (-5, 5). One red circle marks a point in the 1st quadrant and is labelled (-2,1). Another lilac circle marks a point in the 4th quadrant and is labelled (gold star icon, green triangle icon) as the coordinates are unknown. ]()","Given a midpoint and a coordinate work out the position of the other coordinate, where all the values are integers but at least one is negative",Midpoint Between Two Co-ordinates,"Here are two points and their midpoint. What should replace the star? ![A set of axis showing all four quadrants. Three points are marked in a straight line with a negative gradient. One lilac circle marks a point in the 1st quadrant and is labelled (-5, 5). One red circle marks a point in the 1st quadrant and is labelled (-2,1). Another lilac circle marks a point in the 4th quadrant and is labelled (gold star icon, green triangle icon) as the coordinates are unknown. ]()",D,1378,408,AnswerAText,\(\color{gold}\bigstar\) = 5,MisconceptionAId,118.0
1813,"Find the area of non-rectilinear shapes by counting squares, where all squares are either whole or exactly half-squares. Area of Simple Shapes. Each square is \( 1 \mathrm{~cm} \) by \( 1 \mathrm{~cm} \)

What is the area of this shape? ![A 6 by 5 centimetre squared grid. A purple right angled triangle is drawn on the grid with a base of 3cm and a perpendicular height of 3cm.]()","Find the area of non-rectilinear shapes by counting squares, where all squares are either whole or exactly half-squares",Area of Simple Shapes,"Each square is \( 1 \mathrm{~cm} \) by \( 1 \mathrm{~cm} \)

What is the area of this shape? ![A 6 by 5 centimetre squared grid. A purple right angled triangle is drawn on the grid with a base of 3cm and a perpendicular height of 3cm.]()",D,2561,75,AnswerAText,\( 5 \mathrm{~cm}^{2} \),MisconceptionAId,584.0
1814,"Recognise and use efficient methods for mental multiplication. Mental Multiplication and Division. Tom and Katie are discussing ways to calculate \( 49 \times 9 \) mentally
Tom multiplies \( 49 \) by \( 10 \) and then subtracts \( 49 \) from the answer.
Katie does \( 50 \times 9 \) and then subtracts \( 9 \) from the answer
Who would get the correct answer?",Recognise and use efficient methods for mental multiplication,Mental Multiplication and Division,"Tom and Katie are discussing ways to calculate \( 49 \times 9 \) mentally
Tom multiplies \( 49 \) by \( 10 \) and then subtracts \( 49 \) from the answer.
Katie does \( 50 \times 9 \) and then subtracts \( 9 \) from the answer
Who would get the correct answer?",C,3316,204,AnswerAText,Only Tom,MisconceptionAId,1811.0
1815,Raise a positive integer to the power of 0. Laws of Indices. \( (16)^{0}=? \),Raise a positive integer to the power of 0,Laws of Indices,\( (16)^{0}=? \),C,489,247,AnswerAText,\( 16 \),MisconceptionAId,1920.0
1817,Multiply two decimals together with the same number of decimal places. Multiplying and Dividing with Decimals. \( 0.01^{3}= \),Multiply two decimals together with the same number of decimal places,Multiplying and Dividing with Decimals,\( 0.01^{3}= \),B,312,224,AnswerAText,\( 0.0001 \),MisconceptionAId,2481.0
1820,"Identify corresponding angles. Angle Facts with Parallel Lines. \( \mathrm{M} \) and \( \mathrm{N} \) are the intersections of the line \( X Y \) with the lines \( P Q \) and \( R S \).
Which angle is corresponding to angle QMY? ![A pair of parallel lines pointing up to the left. PQ and RS are the ends of the parallel lines. PQ is on the left of the diagram with Q being the top left.
A red straight line, XY, crosses the parallel lines. X is on the left of the diagram.
Line XY crosses line PQ at a point marked M.
Line XY crosses line RS at a point marked N.
The angle QMY is marked in red.]()",Identify corresponding angles,Angle Facts with Parallel Lines,"\( \mathrm{M} \) and \( \mathrm{N} \) are the intersections of the line \( X Y \) with the lines \( P Q \) and \( R S \).
Which angle is corresponding to angle QMY? ![A pair of parallel lines pointing up to the left. PQ and RS are the ends of the parallel lines. PQ is on the left of the diagram with Q being the top left.
A red straight line, XY, crosses the parallel lines. X is on the left of the diagram.
Line XY crosses line PQ at a point marked M.
Line XY crosses line RS at a point marked N.
The angle QMY is marked in red.]()",B,1755,182,AnswerAText,XMP,MisconceptionAId,625.0
1821,Identify common factors of two numbers. Factors and Highest Common Factor. A common factor of \( 8 \) and \( 20 \) is...,Identify common factors of two numbers,Factors and Highest Common Factor,A common factor of \( 8 \) and \( 20 \) is...,D,334,219,AnswerAText,\( 40 \),MisconceptionAId,710.0
1823,Recognise perpendicular lines. Parallel Lines. ![An image of 8 line segments on a square grid. AB is a vertical line measuring 4 units. CD is a vertical line measuring 2 units. EF is a diagonal line with a positive gradient of 4. GH is a diagonal line with a negative gradient of -4. IJ is a horizontal line measuring 3 units. KL is a diagonal line with a negative gradient of -1. MN is a diagonal line with a positive gradient of 1. OP is a diagonal line with a positive gradient of 4.]() Which line segment is perpendicular to \( \mathrm{MN} \) ?,Recognise perpendicular lines,Parallel Lines,![An image of 8 line segments on a square grid. AB is a vertical line measuring 4 units. CD is a vertical line measuring 2 units. EF is a diagonal line with a positive gradient of 4. GH is a diagonal line with a negative gradient of -4. IJ is a horizontal line measuring 3 units. KL is a diagonal line with a negative gradient of -1. MN is a diagonal line with a positive gradient of 1. OP is a diagonal line with a positive gradient of 4.]() Which line segment is perpendicular to \( \mathrm{MN} \) ?,D,2355,262,AnswerAText,\( \mathrm{GH} \),MisconceptionAId,1513.0
1825,"Recognise perpendicular lines. Parallel Lines. Tom and Katie are discussing this pair of lines
Tom says they are parallel
Katie says they are perpendicular
Who do you agree with? ![Two blue lines, each with a small red line marked across them about halfway up. The two blue lines do not touch, but they are closer together at one end.]()",Recognise perpendicular lines,Parallel Lines,"Tom and Katie are discussing this pair of lines
Tom says they are parallel
Katie says they are perpendicular
Who do you agree with? ![Two blue lines, each with a small red line marked across them about halfway up. The two blue lines do not touch, but they are closer together at one end.]()",D,2355,262,AnswerAText,"Only
Tom",MisconceptionAId,281.0
1826,"Calculate coordinates of points on the graph of y = ax, where x is a negative integer . Graphs of Exponentials and Other Powers of x. This is a part of the table of values for the equation \( \boldsymbol{y}=\mathbf{2}^{\boldsymbol{x}} \) \begin{tabular}{|c|c|}
\hline\( x \) & \( -5 \) \\
\hline\( y \) & \(\color{gold}\bigstar\) \\
\hline
\end{tabular} What should replace the star?","Calculate coordinates of points on the graph of y = ax, where x is a negative integer ",Graphs of Exponentials and Other Powers of x,"This is a part of the table of values for the equation \( \boldsymbol{y}=\mathbf{2}^{\boldsymbol{x}} \) \begin{tabular}{|c|c|}
\hline\( x \) & \( -5 \) \\
\hline\( y \) & \(\color{gold}\bigstar\) \\
\hline
\end{tabular} What should replace the star?",D,1597,160,AnswerAText,\( -32 \),MisconceptionAId,433.0
1828,"Find missing angles using angles on a straight line. Basic Angle Facts (straight line, opposite, around a point, etc). What is the value of the angle marked \( \mathbf{\square} \) ? ![Image showing three vertices of a polygon. We do not see how many sides the polygon has. The angles shown are marked 20 degrees, 120 degrees and the third is marked with a square.]()",Find missing angles using angles on a straight line,"Basic Angle Facts (straight line, opposite, around a point, etc)","What is the value of the angle marked \( \mathbf{\square} \) ? ![Image showing three vertices of a polygon. We do not see how many sides the polygon has. The angles shown are marked 20 degrees, 120 degrees and the third is marked with a square.]()",B,1744,181,AnswerAText,\( 60^{\circ} \),MisconceptionAId,1707.0
1830,Identify a transversal. Angle Facts with Parallel Lines. What is the name given to the red line that intersects the two dashed lines? ![Shows two straight horizontal dashed lines that are converging and are both intersected by a solid red line](),Identify a transversal,Angle Facts with Parallel Lines,What is the name given to the red line that intersects the two dashed lines? ![Shows two straight horizontal dashed lines that are converging and are both intersected by a solid red line](),D,3338,182,AnswerAText,Parallel,MisconceptionAId,114.0
1832,Describe the properties of an isosceles triangle. Properties of Triangles. An isosceles triangle must have ...,Describe the properties of an isosceles triangle,Properties of Triangles,An isosceles triangle must have ...,D,2432,175,AnswerAText,three \( 60^{\circ} \) angles.,MisconceptionAId,1176.0
1833,"Determine the function of a single function machine used to create an algebraic expression. Function Machines. Tom and Katie are discussing this function machine ![A function machine with 3 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left has ""input"" written above it and ""m"" written inside it. The middle rectangle is empty and the final rectangle has ""output"" written above it and ""4m"" written inside it.]() Tom says the function could be \( +3 m \)

Katie says the function could be \( \times 4 \)

Who do you agree with?",Determine the function of a single function machine used to create an algebraic expression,Function Machines,"Tom and Katie are discussing this function machine ![A function machine with 3 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left has ""input"" written above it and ""m"" written inside it. The middle rectangle is empty and the final rectangle has ""output"" written above it and ""4m"" written inside it.]() Tom says the function could be \( +3 m \)

Katie says the function could be \( \times 4 \)

Who do you agree with?",C,3515,649,AnswerAText,Only Tom,MisconceptionAId,2504.0
1834,"Use inequality notation to order integers with the same number of digits. Place Value. Which symbol makes the following statement correct?
\[
1,959,909 \quad
 \square \quad
1,995,902
\]",Use inequality notation to order integers with the same number of digits,Place Value,"Which symbol makes the following statement correct?
\[
1,959,909 \quad
 \square \quad
1,995,902
\]",D,31,202,AnswerAText,\( > \),MisconceptionAId,1365.0
1836,"Calculate the probability of two dependent events occurring without drawing a tree diagram. Tree Diagrams with Dependent Events. There are \( 4 \) red balls and \( 3 \) yellow balls in a cup ![A cup with 4 red and 3 yellow balls in it. The balls are all the same size.]() Kate picks out two balls at the same time.

What is the probability at least one ball is red?",Calculate the probability of two dependent events occurring without drawing a tree diagram,Tree Diagrams with Dependent Events,"There are \( 4 \) red balls and \( 3 \) yellow balls in a cup ![A cup with 4 red and 3 yellow balls in it. The balls are all the same size.]() Kate picks out two balls at the same time.

What is the probability at least one ball is red?",B,2971,112,AnswerAText,\( \frac{12}{42} \),MisconceptionAId,111.0
1837,Use the order of operations to carry out calculations involving powers. Basic Calculator Use. What answer would your calculator give if you typed in \(-5^{2}\) ![A scientific calculator](),Use the order of operations to carry out calculations involving powers,Basic Calculator Use,What answer would your calculator give if you typed in \(-5^{2}\) ![A scientific calculator](),B,856,217,AnswerAText,\( 25 \),MisconceptionAId,621.0
